SELECT YOUR VEHICLE,اختر سيارتك
Select Make,اختر النوع
Select Model,اختر الموديل
Select Year,اختر السنة
GMC,جي ام سي
Jeep,جيب
Ford,فورد
Toyota,تويوتا
Chevy,شيفروليه
Dodge Ram,دودج رام
Nissan,نيسان‬
Sierra 1500,سييرا 1500
Silverado 1500,سيلفرادو 1500
Wrangler JK 2-Door,رانجلر بابين
Wrangler Unlimited JK 4-Door,رانجلر أربع أبواب
Wrangler JL 2-Door,جيب رانجلر JL بابين
Wrangler Unlimited JL 4-Door,جيب رانجلر JL 4 أبواب
F-150,اف-150
SVT Raptor,رابتر
FJ Cruiser,اف جي كروزر
TUNDRA,تندرا
Ram 1500,رام 1500‬‎
Patrol,باترول
Land Cruiser,لاند كروزر
or previously selected vehicles,مركبات تم اختيارها سابقاً
Clear selected vehicle,الغاء السيارة المختارة
Select Vehicle,اختر السيارة
"Search for products, categories",البحث عن المنتجات ، الفئات
Search,بحث
Special Offers!,عروض خاصة
Shop Now,اشتر الآن
POPULAR,أشهر
BRANDS,الماركات
View All,عرض الكل
MODELS,الموديل
SHOP BY CATEGORY,تسوق حسب الاقسام
NEW,جديد
DEAL,صفقة
GREAT DEALS,صفقات كبيرة
SPECIAL OFFERS,عروض خاصة
view all offers,عرض جميع العروض
NEW ARRIVALS,وصل حديثا
OUR BEST SELLERS,الاكثر مبيعا
Shop popular stuff for all,اشترالسلع الاكتر تداولا
shop now,اشتر الآن
OUR COMBO PRODUCTS,أطقم
View our products,عرض منتجاتنا
view products,عرض المنتجات
Sign Up for Our Newsletter:,سجل للحصول على آخر العروض
We will sent you only important updates upon products you may like,سوف نرسل لك فقط التحديثات الهامة على المنتجات التي قد ترغب بها
Subscribe,الاشتراك
Categories,الاقسام
Enter your email address,أدخل عنوان بريدك الالكتروني
POPULAR ITEMS,المنتجات الاكثر تداولا
MOST VIEWED,الأكثر مشاهدة
MOST RATED,الأكثر تقييما
Go to Home Page,اذهب إلى الصفحة الرئيسية
Home,الصفحة الرئيسية
SKU,SKU
Excl. Tax,غير شامل. ضريبة
VEHICLE FITMENT,إعداد السيارة
Universal Product,منتج عام
This product fits,هذا المنتج يناسب
View all compatible Vehicles,عرض جميع المركبات المتوافقة
Sorry! This product doesn‘t fit,آسف! هذا المنتج غير مناسب
Select A Compatible Vehicle,اختر مركبة متوافقة
Add to Cart,أضف إلى السلة
Fits These Vehicles,يناسب هذه المركبات
Compatible Vehicles,مركبات متوافقة
In stock,في المخزون
Out of stock,غير متوفر بالمخزون
Details,تفاصيل
Show only products that fit,عرض المنتجات التي تناسب فقط
Uncheck to show all products in this category,قم بإلغاء التحديد لعرض كل المنتجات في هذه الفئة
Bundle,حزمة
Search results for: '%1',نتائج البحث عن: '%1'
All,الكل
None,لا شئ
Allowed Scopes,النطاقات المسموح بها
You need more permissions to delete this item(s): %1.,تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر (عناصر): %1.
You need more permissions to apply some of the rule updates.,تحتاج إلى مزيد من الصلاحيات لتطبيق بعض تحديثات القاعدة.
Please assign this entity to a store view.,الرجاء ربط هذا الكيان بطريقة عرض متجر.
You can create orders only in an active store.,يمكنك إنشاء طلبات فقط في المتجر النشط.
Please assign this item to a store view.,الرجاء ربط هذا العنصر إلى طريقة عرض متجر.
You need more permissions to save this item.,تحتاج إلى مزيد من الصلاحيات لحفظ هذا العنصر.
You need more permissions to delete this item.,تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر.
You need more permissions to view this item.,تحتاج إلى مزيد من الصلاحيات لعرض هذا العنصر.
Please specify at least one website or one store group.,الرجاء تحديد موقع واحد على الأقل أو مجموعة متاجر واحدة.
You need more permissions to set All Scopes to a Role.,تحتاج لسماحية اكثر لتعيين كافة النطاقات الى واحد من الادوار.
Incorrect website ID: %1,معرف الموقع غير صحيح: %1
"You need more permissions to access website ""%1"".","تحتاج لمزيد من الصلاحيات للوصول إلى الموقع ""%1""."
Incorrect store ID: %1,معرف المتجر غير صحيح: %1
You need more permissions to save this setting.,تحتاج إلى مزيد من الصلاحيات لحفظ هذا الإعداد.
Role Scopes,نطاقات الدور
Custom,مخصص
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",ليس لديك الصلاحيات اللازمة لحفظ هذا العنصر في نطاق المتجر الحالي. رجاء، قم بالتبديل إلى المتجر المسموح لك بالتعديل عليه
Read Details,قراءة التفاصيل
Mark as Read,تعيين كمقروء
Are you sure?,هل أنت متأكد؟
Remove,ازالة
Messages Inbox,رسائل علبة الوارد
You have %1 new system messages,لديك %1 من رسائل النظام الجديدة
You have %1 new system message,لديك %1 رسالة نظام جديدة
Incoming Message,رسالة واردة
close,إغلاق
Notifications,اشعارات
The message has been marked as Read.,تم وضع علامة مقروءة على الرسالة.
We couldn't mark the notification as Read because of an error.,بسبب خطأ ما لم يتم وضع علامة قراءة الاشعار.
Please select messages.,الرجاء تحديد الرسائل.
A total of %1 record(s) have been marked as Read.,لقد تم وضع علامة مقروء على %1 من المحفوظات.
Total of %1 record(s) have been removed.,لقد تم ازالة 1% من المحفوظات.
We couldn't remove the messages because of an error.,لم يتم ازالة الرسائل بسبب حدوث خطأ.
The message has been removed.,تم حذف الرسالة.
1 Hour,ساعة واحدة
2 Hours,ساعتان
6 Hours,6 ساعات
12 Hours,12 ساعة
24 Hours,24 ساعة
critical,حرج
major,مهم
minor,ثانوي
notice,إشعار
Wrong message type,نوع رسالة خاطئ
Wrong notification ID specified.,معرف الإشعار المحدد خاطئ.
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","لا ينصح باستخدام {{base_url}} في بيئة الإنتاج لتوضيح Unsecure ' 'URL / Base Secure URL. نوصي بشدة بتغيير هذه القيمة في ماجنتو الخاص بك ' '<a href=""%1"">configuration</a>."
One or more of the Cache Types are invalidated: %1.,"تم ابطال واحد أو أكثر من ""أنواع ذاكرة التخزين المؤقت"": %1."
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","الرجاء الانتقال إلى <a href=""%1""> إدارة ذاكرة التخزين المؤقت</a> واعدة تنشيطها."
We were unable to synchronize one or more media files. Please refer to the log file for details.,لم نستطع موافقة واحد أو أكثر من ملفات الوسائط. الرجاء الرجوع إلى ملف السجل للحصول على التفاصيل.
Synchronization of media storages has been completed.,اكتملت مواففة وسائط التخزين.
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,قاعدة بيانات الأنترنت الخاصة بك معدة بشكل غير صحيح، وتسمح بدخول غير المصرح به إلى الملفات الحساسة. الرجاء الاتصال بموفر خدمة الاستضافة.
System Messages:,رسائل النظام:
Critical System Messages,رسائل النظام خطيرة
Major System Messages,رسائل النظام مهمة
System messages,رسائل النظام
Close,غلق
See All (,انظر (جميع
"unread),غير مقروء)""",
Show Toolbar,إظهار شريط الأدوات
Show List,إظهار القائمة
Use HTTPS to Get Feed,استخدام HTTPS للحصول على تغذية
Update Frequency,تردد التحديث
Last Update,آخر تحديث
Severity,خطورة
Date Added,اضافة تاريخ
Message,رسالة
Actions,اعمال
You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.,لقد قمت برؤية جميع إشعارات النظام الأخيرة وحلها. يرجى تحديث صفحة الويب لمسح تنبيه الإشعار.
Manage Shopping Cart,إدارة سلة التسوق
Create Order,إنشاء طلب
Back,رجوع
Add Products,إضافة منتجات
Update Items and Quantities,تحديث الأصناف والكميات
Are you sure you want to clear your cart?,هل أنت متأكد من أنك تريد إفراغ عربة التسوق؟
Clear my shopping cart,إفراغ سلة التسوق
Add selections to my cart,إضافة الخيارات للسلة
Cancel,إلغاء
Shopping Cart for %1 in %2,سلة التسوق ل %1 في %2
Select products you want to buy,اخترالمنتجات التي تريد شراءها
Product,المنتج
Price,السعر
Quantity,الكمية
Products in the Comparison List (%1),المنتجات في قائمة المقارنة (%1)
Last ordered items (%1),آخر الأصناف المطلوبة (%1)
Products,المنتجات
ID,التعريف
SKU,SKU
Recently Compared Products (%1),آخر المنتجات المقارنة  (%1)
Recently Viewed Products (%1),آخر  المنتجات المشاهدة(%1)
Add to Shopping Cart by SKU,إضافة إلى عربة التسوق حسب الـ SKU
Add to Shopping Cart,اضف إلى سلة التسوق
Wish List (%1),قائمة الأمنيات (1%)
Apply,تطبيق
Configure,ضبط
Add to Order by SKU,إضافة إلى الطلبات حسب الـ SKU
Add to Order,إضافة إلى الطلب
Add Products to Order,إضافة المنتجات إلى الطلب
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> المنتجات تتطلب عناية.</span>"
Remove All,حذف الجميع
Only %1%2%3 left in stock,تبقى فقط %1%2%3  في المخزون
You can buy up to %1 of these per purchase.,يمكنك شراء بنسبة تصل إلى %1 من هذه المنتجات لكل عملية شراء.
You must buy at least %1 of these per purchase.,يجب عليك شراء على الأقل %1 من هذه المنتجات لكل عملية شراء.
Specify the product's options.,قم بتحديد خيارات المنتج.
Alert me when this item is available.,تنبيهي عندما يتوفر هذا العنصر.
We can't find this customer.,هذا العميل غير موجود.
Shopping cart management is disabled for this customer.,إدارة سلة التسوق لهذا الزبون غير مفعلة.
We can't find this store.,هذا المتجر غير موجود.
Customers,العملاء
Shopping Cart,سلة التسوق
"Sorry, something went wrong. You can find out more in the error log.",نأسف، حدث خطأ. يمكنك العثور على مزيد من المعلومات في سجل الخطأ.
You do not have access to this.,لا تملك الصلاحية للدخول.
Ordered item id is not received.,لم يتم استلام التعريف الخاص بالمنتج المطلوب.
Ordered item is not loaded.,لم يتم تحميل الصنف المطلوب.
Quote item id is not received.,لم يتم استلام معرف قيمة العنصر.
Quote item is not loaded.,لم يتم تحميل قيمة العنصر.
The wish list item id is not received.,لم يتم استلام معرف عنصر قائمة الأمنيات.
The wish list item is not loaded.,لم يتم تحميل عنصر قائمة الأمنيات.
An error has occurred. See error log for details.,لقد حدث خطأ. راجع سجل الأخطاء للحصول على التفاصيل.
You cannot configure a product.,لا يمكنك تكوين منتج.
You removed the items.,قمت بإزالة العناصر.
You removed the item.,قمت بإزالة العنصر.
You added %1 to your shopping cart.,تمت إضافة %1 إلى عربة التسوق.
You cannot add a product.,لا يمكنك إضافة منتج.
Order by SKU,الطلب بواسطة رمز ال SKU
The SKU was not found in the catalog.,The SKU was not found in the catalog.
Availability: Out of stock.,متوفر بالمخزن: لا.
We don't have as many of these as you want.,الكمية التي تريدها غير متوفرة.
You can't add this many to your cart.,لا يمكنك إضافة هذه الكمية إلى عربة التسوق الخاصة بك.
You need to choose options for your item.,تحتاج إلى تحديد خيارات هذا المنتج.
We can't add the item to your cart.,لا يمكن إضافة العنصر إلى عربة التسوق الخاصة بك.
"Please enter an actual number in the ""Qty"" field.","الرجاء إدخال رقم صحيح في حقل ""الكمية""."
This product is assigned to another website.,تم تعيين هذا المنتج في موقع الكتروني آخر.
You can add only enabled products.,يمكنك إضافة منتجات مخولة فقط.
You cannot upload this file.,لا يمكن تحميل هذا الملف.
The file is empty.,الملف فارغ.
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","لم تقم بإدخال رمز SKU للمنتج. الرجاء <a href=""%1""> انقر هنا</a> لإضافة المنتج من خلال رمز ال SKU."
You have not entered a product SKU.,لم تقم بإدخال رمز SKU للمنتج.
"We can't add a product to cart by id ""%1"".","لا يمكنك إضافة منتج إلى سلة التسوق من خلال رمز التعريف ""%1""."
Something went wrong while reordering this product.,حدث خطأ أثناء إعادة طلب هذا المنتج.
We can't find this wish list.,لا يمكننا ايجاد قائمة الامنيات هذه.
You added %1 product to your shopping cart.,تمت إضافة %1 منتج إلى عربة التسوق.
You added %1 products to your shopping cart.,تمت إضافة %1 منتجات إلى عربة التسوق.
%1 product requires your attention.,المنتج %1 يتطلب الاهتمام الخاص بك.
%1 products require your attention.,المنتج %1 يتطلب الاهتمام الخاص بك.
"Yes, for Specified Customer Groups",نعم، بالنسبة لمجموعات العميل المحددة
"Yes, for Everyone",نعم، بالنسبة للجميع
No,لا
The file is corrupt.,أن الملف معطوب.
Please upload the file in .csv format.,الرجاء تحميل ملف بتنسيق.csv.
%1 item(s) need your attention.,%1 العنصر (العناصر) بحاجة إلى الاهتمام الخاص بك.
Apply Coupon Code,تطبيق رمز قسيمة الخصم
Remove Coupon Code,إزالة رمز قسيمة الخصم
Remove,ازالة
"The coupon code ""%1"" is not valid.","رمز قسيمة الخصم""%1"" غير صحيح."
Shopping Cart Items,عناصر سلة التسوق
Qty,الكميّة
Subtotal,الإجمالي
Discount,خصم
Row Subtotal,إجمالي الصف
Action,إجراء
No ordered items,لامنتجات مطلوبة
Total %1 product(s),%1 إجمالي المنتج (المنتجات)
Subtotal:,الاجمالي
Please select,أختر من فضلك
Move to Wish List,الانتقال إلى قائمة الامنيات
No item specified.,لا عنصر المحدد.
Are you sure you want to remove this item?,هل أنت متأكد أنك تريد حذف هذا العنصر؟
SKU number,رقم  المنتج
Upload File,رفع ملف
"Your csv file must include ""sku"" and ""qty"" columns.","يجب أن يتضمن ملف csv الأعمدة ""رمز المنتج"" و ""الكمية""."
Reset,إعادة ضبط
SKU:,رمز المنتج:
"Only <span id=""%1_max_allowed"">%2</span> in stock","فقط <span id=""%1_max_allowed"">%2</span> في المخزون"
Item,سلعة
See price before order confirmation.,انظر السعر قبل تأكيد الطلب.
What's this?,ما هذا؟
Incl. Tax,شامل الضريبة
Excl. Tax,غير شامل الضريبة
Edit item parameters,تعديل خصائص المنتج
Edit,تعديل
Remove item,أزل المنتج
Products Requiring Attention,المنتجات التي تحتاج إلى اهتمام
Add to Cart,أضف لسلة التسوق
Sku,رمز المنتج
File,ملف
File extensions allowed: .csv,ملحقات الملفات المسموحة : csv
Add Row,إضافة صف
Remove Row,إزالة صف
Add Products By SKU,أضف المنتجات من خلال رمز المنتج
Shopping Cart Management,إدارة سلة التسوق
View Shopping Cart,عرض سلة التسوق
View and modify Shopping Cart,عرض وتعديل سلة التسوق
Order by SKU Settings,الترتيب حسب إعدادات رمز المنتج
Enable Order by SKU on My Account in Storefront,تمكين النظام بواسطة رمز المنتج على حسابي في الواجهة
Customer Groups,مجموعات العملاء
Apply Coupon,استخدام كوبون
Order by SKU Description,الترتيب حسب وصف رمز المنتج
Display a Link to Loading a Spreadsheet,عرض ارتباط لتحميل جدول البيانات
Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget,يحدد ما إذا كان ارتباط إلى حسابي &gt; سيتم عرض الطلب بواسطة صفحة رمز المنتج على widget
Link Text,نص الارتباط
The text of the link to the My Account &gt; Order by SKU page,"نص الارتباط ""الحساب الخاص بي"" &gt; الترتيب حسب صفحة رمز المنتج"
Load a list of SKUs,تحميل قائمة بوحدات رمز المنتج
Order by SKU Template,الطلب بواسطة قالب رمز المنتج
Please correct the data sent.,الرجاء تصحيح البيانات التي تم إرسالها.
Entity type model '%1' is not found,نموذج الكيان '%1' غير موجود
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
There are no product types available for export,لا تتوفر أي من أنواع المنتجات للتصدير
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface
Sales Rule,قاعدة المبيعات
Index sales rule,فهرس قاعدة المبيعات
Related Search Terms,شروط البحث المرتبطة
Add New Search Term,اضف كلمة بحث جديدة
button_label,تسمية الزر
Missing search engine parameter.,متغير محرك البحث مفقود.
Successful! Test again?,ناجح! الاختبار مرة أخرى؟
Connection failed! Test again?,فشل في الإتصال! اختبار مرة أخرى؟
Enable Search Recommendations,تمكين البحث عن التوصيات
When you enable this option your site may slow down.,عند تمكين هذا الخيار قد تبطئ موقع الويب الخاص بك.
Search Recommendations Count,عدد توصيات البحث
Show Results Count for Each Recommendation,إظهار عدد النتائج لكل توصية من التوصيات
Enable Search Suggestions,تمكين اقتراحات البحث
Search Suggestions Count,عد اقتراحات البحث
Show Results Count for Each Suggestion,إظهار عدد النتائج لكل اقتراح
Related search terms,مصطلحات البحث ذات الصلة
Did you mean,هل تقصد
ID,التعريف
Search Query,استفسار البحث
Store,متجر
Results,نتائج
Uses,يستخدم
Redirect URL,اعادة توجيه الموقع
Suggested Term,الاختصاصات المقترحة
Yes,نعم
No,لا
Action,إجراء
Edit,تعديل
"RPC call failed, connection timed out after %time_out.",فشل استدعاء RPC، مهلة الاتصال بعد %time_out.
Message has been rejected: %1,تم رفض الرسالة: %1
Error while checking if topic is synchronous,حدث خطأ أثناء التحقق من إذا كان الموضوع متزامن
Subscription status,حالة الاشتراك
"Sorry, there has been an error processing your request. Please try again later.",عذراً، حدث خطأ أثناء معالجة طلبك. الرجاء المحاولة مرة أخرى لاحقاً.
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, there was an error processing your registration request to Magento Analytics. Please try again later."
Error occurred during postponement notification,Error occurred during postponement notification
Time value has an unsupported format,تنسيق الوقت غير مدعوم
Cron settings can't be saved,لا يمكن حفظ إعدادات كرون Cron
There was an error save new configuration value.,حدث خطأ أثناء حفظ قيمة الإعداد الجديد.
Please select a vertical.,الرجاء حدد العمود.
--Please Select--,--أختر من فضلك--
Command was not found.,لم يتم العثور على الأمر.
Input data must be string or convertible into string.,يجب أن تكون البيانات المدخلة سلسلة أو قابلة للتحويل إلى سلسلة string.
Input data must be non-empty string.,يجب أن لا تكون البيانات المدخلة عبارة عن سلسلة فارغة.
Not valid cipher method.,طريقة التشفير غير صالحة.
Encryption key can't be empty.,لا يمكن ترك مفتاح التشفير فارغاً.
"Source ""%1"" is not exist","المصدر ""1%"" غير موجود"
"These arguments can't be empty ""%1""","لا يمكن ترك هذه الصيغ فارغة ""1%"""
Cannot find predefined integration user!,لا يمكن العثور على مستخدم دمج معرف مسبقا!
File is not ready yet.,الملف غير جاهز حتى الآن.
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,تم تغيير الرابط الأساسي الخاص بك وجاري الآن تحديث تقاريرك. ستتوفر التقارير المتقدمة حين الانتهاء من التغيير. يرجى المحاولة مرة أخرى لاحقاً.
Failed to synchronize data to the Magento Business Intelligence service.,فشلت مزامنة البيانات مع خدمة ماجنتو لذكاء الأعمال.
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">إعادة المزامنة</a>"
TestMessage,رسالة تجريبية
Error message,Error message
Apps and Games,تطبيقات وألعاب
Athletic/Sporting Goods,السلع الرياضية
Art and Design,الفن والتصميم
Advanced Reporting,التقارير المتقدمة
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.",اكتسب رؤىً جديدة وتولى قيادة الأداء في أعمالك، باستخدام تقاريرنا الديناميكية للمنتجات والأوامر والزبائن والمصممة لبيانات عملائك.
View details,View details
Go to Advanced Reporting,الانتقال إلى التقارير المتقدمة
An error occurred while subscription process.,An error occurred while subscription process.
Analytics,التحليلات
API,API
Configuration,الضبط
Business Intelligence,ذكاء الأعمال
BI Essentials,أساسيات الذكاء التجاري
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>."
Advanced Reporting Service,خدمة التقارير المتقدمة
Industry,صناعة
Time of day to send data,وقت إرسال البيانات خلال اليوم
<strong>Get more insights from Magento Business Intelligence</strong>,<strong>احصل على المزيد من الرؤى من ماجنتو لذكاء الأعمال</strong>
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier."
Auto Parts,قطع غيار السيارات
"Baby/Children’s Apparel, Gear and Toys",ألعاب وأدوات واكسسوارات الأطفال والمواليد
Beauty and Cosmetics,أدوات التجميل والجمال
"Books, Music and Magazines",الكتب والمجلات والصوتيات
Crafts and Stationery,المشغولات اليدوية والأدوات المكتبية
Consumer Electronics,الأدواتا لكهربائية الإستهلاكية
Deal Site,موقع الصفقة
Fashion Apparel and Accessories,الأزياء والكماليات
"Food, Beverage and Grocery",المأكولات والمشروبات والمواد التموينية
Home Goods and Furniture,الأواني المنزلية والأثاث
Home Improvement,تحسين المنزل
Jewelry and Watches,الساعات والمجوهرات
Mass Merchant,تجارة الجملة
Office Supplies,أدوات مكتبية
Outdoor and Camping Gear,مستلزمات التخييم والرحلات
Pet Goods,مستلزمات تربية الحيوانات
Pharma and Medical Devices,الأدوات الطبية والصيدلية
Technology B2B,التقنية (مورد لمورد)
Analytics Subscription,Analytics Subscription
powered by Magento Business Intelligence,powered by Magento Business Intelligence
Are you sure you want to opt out?,Are you sure you want to opt out?
Cancel,Cancel
Opt out,Opt out
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.",من أجل تخصيص التقارير المتقدمة الخاصة بك يرجى اختيار مجال تجارتك.
Back,رجوع
Done,انتهى
Retry,إعادة المحاولة
Action Details - #' .,تفاصيل العملية - #' .
"%1 item(s) have been scheduled for update.""","%1 صنف (أصناف) على جدول التحديث."""
Bulk Actions Log,سجل الإجراءات
%1 item(s) are currently being updated.,يجري حاليا تحديث %1 صنف (أصناف).
"Task ""%1"":","المهمة ""%1"":"
%1 item(s) have been scheduled for update.,%1 صنف (أصناف) على جدول التحديث.
%1 item(s) have been successfully updated.,%1 تم تحديث صنف (أصناف).
%1 item(s) failed to update,فشل تحديث %1 صنف (أصناف)
Details,التفاصيل
View Details,عرض التفاصيل
Dismiss,استبعاد
"Pending, in queue...",معلقة، في انتظار...
%1 items selected for mass update,%1 أصناف محددة لتحديث شامل
", %1 successfully updated",تم تحديث %1 بنجاح
", %1 failed to update",لم يتم تحديث %1
Something went wrong.,لقد حدث خطأ ما.
Action Log,سجل الإجراءات
Bulk Actions,مجموعة إجراءات
Days Saved in Log,أيام محفوظة في سجل
Description of Operation,وصف العملية
Summary,ملخص
Start Time,زمن البداية
Items to Retry,أصناف لإعادة المحاولة
"To retry, select the items and click “Retry”.","لإعادة المحاولة، قم بتحديد الأصناف والنقر فوق ""إعادة المحاولة""."
Items That Can’t Be Updated.,الأصناف التي لا يمكن تحديثها.
ID,التعريف
Status,الحاله
Meta Information,المعلومات الوصفية
Error,خطأ
Dismiss All Completed Tasks,إستبعاد جميع المهام المكتملة
Action Details - #,تفاصيل العملية - #
Number of Records Affected,عدد السجلات التي تأثرت
We can't find the role for the user you wanted.,لا يمكننا الوصول للمستخدم الذي طلبته
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,حدث خطأ أثناء تجميع قائمة من الموارد المسموح بها. يمكنك العثور على مزيد من المعلومات في سجل الاستثناءات.
You created the order.,قمت بإنشاء الطلب.
Order saving error: %1,أمر حفظ الخطأ: %1
Please choose a payment method.,الرجاء اختيار طريقة الدفع.
We can't process your order right now. Please try again later.,لا يمكننا معالجة طلبك الآن. الرجاء المحاولة مرة أخرى لاحقاً.
An error occurred on the server. Please try to place the order again.,حدث خطأ في الخادوم. الرجاء محاولة وضع الطلب مرة أخرى.
Credit Card: xxxx-%1,كارت ائتماني: xxxx-%1
amount %1,%1 كمية
failed.,فشل.
successful.,تم بنجاح.
Authorize.Net Transaction ID %1.,رقم معاملة Authorize.Net %1.
authorize,التصريح
authorize and capture,التحقق و القبض
capture,التقاط
refund,اعادة المبلغ المدفوع
void,الفراغ
Gateway error: %1,خطأ في البوابة: %1
Something went wrong in the payment gateway.,حدث خطأ في بوابة الدفع.
Invalid amount for capture.,المبلغ غير صالح للقبض.
Payment capturing error.,خطأ في قبض الدفعة.
Invalid transaction ID.,رمز تعريف عملية الدفع غير موجود.
Payment voiding error.,خطأ في الغاء الدفعة.
Invalid amount for refund.,المبلغ غير قابل لاسترداده.
Payment refunding error.,خطأ في استرداد المبلغ.
