SELECT YOUR VEHICLE,اختر سيارتك
The transaction was declined because the response hash validation failed.,تم رفض عملية الدفع نظراً لفشل التحقق من تجزئة الاستجابة.
This payment didn't work out because we can't find this order.,عملية الدفع لم تنجح لاننا لم نستطع ايجاد هذا الطلب.
There was a payment authorization error.,خطأ في إذن الدفع.
Please enter a transaction ID to authorize this payment.,الرجاء إدخال رمز التعريف الخاص بعملية الدفع للسماح باتمام العملية.
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,حدث خطأ: المبلغ المدفوع لا يتطابق مع كمية الطلبية. الرجاء تصحيح هذه المشكلة ثم حاول مرة أخرى.
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","تم الموافقة على العملية  %1.القيمة %2. حالة العملية هي ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","تم رفض العملية %1.الحالة هي ""%2"".القيمة هي %3."
Authorize Only,المصرح فقط
Authorize and Capture,التحقق و القبض
Unable to get transaction details. Try again later.,غير قادر على الحصول على تفاصيل الصفقة. حاول مرة أخرى لاحقاً.
Electronic payments save the trees.,المدفوعات الإلكترونية صديقة للبيئة.
Credit Card Type,نوع بطاقة الائتمان
Please Select,أختر من فضلك
Credit Card Number,رقم بطاقة الائتمان
Expiration Date,تاريخ الانتهاء
Card Verification Number,رقم التحقق من البطاقة
Fraud Detection,الكشف عن حالات الغش
FDS Filter Action,إجراء تصفية FDS
AVS Response,رد AVS
Card Code Response,استجابة شفرة البطاقة
CAVV Response,استجابة CAVV
Fraud Filters,مانع الاحتيال.
Place Order,إنشاء الطلب
"Sorry, but something went wrong. Please contact the seller.",آسف، ولكن حدث شيء خاطئ خاطئ. الرجاء الاتصال بالبائع.
Authorize.net Direct Post,نشر مباشر Authorize.net
Enabled,تفعيل
Payment Action,إجراءات الدفع
Title,العنوان
API Login ID,API اسم المستخدم
Transaction Key,مفتاح عملية الدفع
Merchant MD5,تاجر MD5
New Order Status,حالة طلب جديدة
Test Mode,وضع الاختبار
Gateway URL,رابط البوابة
Transaction Details URL,رابط تفاصيل عملية الدفع
Accepted Currency,العملات المقبولة
Debug,تنقيح
Email Customer,البريد الإلكتروني للعميل
Merchant's Email,البريد الإلكتروني للتاجر
Credit Card Types,أنواع بطاقة الائتمان
Credit Card Verification,التحقق من البطاقة الائتمانية
Payment from Applicable Countries,الدفع من البلدان المطبقة
Payment from Specific Countries,الدفع من بلدان معينة
Minimum Order Total,إجمالي الحد الأدنى للطلب
Maximum Order Total,إجمالي الحد الأعلى للطلب
Sort Order,ترتيب الطلبات
Close,إغلاق
options,الخيارات
Select all,إختيار الكل
Deselect all,إزالة كل الإختيارات
Cancel,إلغاء
Done,انتهى
Please Select,الرجاء الإختيار
%s of %s selected,تم تحديد %s من %s
B2B Features,ميزات B2B
Invalid Form Key. Please refresh the page.,مفتاح النموذج غير صالح. الرجاء اعادة تنشيط الصفحة.
You entered an invalid Secret Key. Please refresh the page.,"قمت بإدخال ""مفتاح سر"" غيرصالح. الرجاء تحديث الصفحة."
Cache Storage Management,إدارة التخزين المؤقت
Flush Magento Cache,مسح ذاكرة التخزين المؤقت لماجنتو
The cache storage may contain additional data. Are you sure that you want to flush it?,ذاكرة التخزين المؤقت قد تحتوي على بيانات إضافية. هل أنت متأكد من أنك تريد مسحها؟
Flush Cache Storage,مسح ذاكرة التخزين المؤقت
Invalidated,إلغاء الصلاحية
Orders,طلبات الشراء
Amounts,المبالغ
Bestsellers,الأكثر مبيعاً
Most Viewed Products,المنتجات الأكثر مشاهدة
New Customers,عضو جديد
Customers,العملاء
Customer,العميل
Guest,زائر
Items,المنتجات
Total,الإجمالي
Lifetime Sales,مبيعات مدى الحياة
Average Order,متوسط الطلبات
Average,المتوسط
Product,المنتج
Price,السعر
Quantity,الكمية
Views,عدد المشاهدات
Revenue,الإيرادات
Tax,الضريبة
Shipping,الشحن
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Media (.avi, .flv, .swf)","الوسائط (.avi, .flv, .swf)"
All Files,كل الملفات
Reset to Default,إعادة ضبط للإعدادات الإفتراضية
All Store Views,واجهه جميع المواقع
What is this?,ما هذا؟
Save Account,حفظ الحساب
My Account,حسابي
Account Information,معلومات الحساب
User Name,اسم المستخدم
First Name,الإسم الأول
Last Name,اسم العائلة
Email,البريد الإلكتروني
User Email,البريد الإلكتروني للمستخدم
New Password,كلمة المرور الجديدة
Password Confirmation,تأكيد كلمة المرور
Interface Locale,لغة الواجهة
Current User Identity Verification,التحقق من هوية المستخدم الحالية
Your Password,كلمة المرور الخاصة بك
Save Cache Settings,حفظ إعدادات الذاكرة المؤقتة
Catalog Rewrites,Rewrites دليل المنتجات
Refresh,التحديث
Images Cache,ذاكرة التخزين المؤقت للصور
Clear,مسح
Search Index,فهرس البحث
Rebuild,إعادة بناء
Inventory Stock Status,حالة جرد المخزون
Rebuild Catalog Index,إعادة إنشاء فهرس دليل المنتجات
Rebuild Flat Catalog Category,إعادة إنشاء flat category لدليل المنتجات
Rebuild Flat Catalog Product,إعادة بناء  Flat Catalog Product
Cache Control,التحكم في التخزين المؤقت
All Cache,ذاكرة التخزين المؤقت
No change,لا يوجد تغيير
Disable,إبطال
Enable,تفعيل
Add Design Change,إضافة تغيير التصميم
Back,رجوع
Delete,احذف
Are you sure?,هل أنت متأكد؟
Save,حفظ
Edit Design Change,تعديل تغيير التصميم
New Store Design Change,تغيير تصميم المتجر الجديد
General Settings,إعدادات عامة
Store,متجر
-- Please Select --,--الرجاء الاختيار-
Custom Design,تصميم مخصص
Date From,التاريخ من
Date To,التاريخ إلى
Design Change,تغيير التصميم
General,عام
Cancel,إلغاء
Delete %1 '%2',حذف %1 '%2'
Delete %1,حذف %1
Block Information,اغلاق المعلومات
Backup Options,خيارات النسخ الاحتياطي
Create DB Backup,إنشاء نسخة احتياطية لقاعدة البيانات
Yes,نعم
No,لا
Delete Store,حذف متجر
Delete Web Site,حذف موقع الويب
Save Web Site,حفظ موقع الويب
Save Store,حفظ المتجر
Save Store View,حفظ عرض المتجر
Delete Store View,حذف عرض متجر
Edit Web Site,تعديل موقع الويب
New Web Site,موقع ويب جديد
Edit Store,تعديل متجر
New Store,متجر جديد
Edit Store View,تعديل عرض المتجر
New Store View,عرض متجر جديد
Store Information,بيانات المتجر
Web Site,موقع
Name,اسم
Code,كود
Root Category,التصنيف الجذر
Default Store View,عرض المتجر الافتراضي
Store View Information,بيانات عرض المتجر
Status,الحاله
Disabled,غير مفعل
Enabled,تفعيل
Sort Order,الترتيب
Web Site Information,بيانات الموقع
Default Store,المتجر الافتراضي
Set as Default,تعيين كافتراضي
Stores,المتاجر
Create Website,إنشاء موقع
Create Store,إنشاء متجر
Create Store View,إنشاء عرض متجر
Home,الصفحة الرئيسية
Reset,اعادة ضبط
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Add New Image,اضف صورة جديدة
Export block for grid %1 is not defined,تصدير قائمة للشبكة %1 غير معرف
Reset Filter,ترشيح اعادة تعين
Search,بحث
Any,اي
All Countries,جميع الدول
From,من
To,إلى
Date selector,اختيار التاريخ
[ deleted ],[محذوف]
Select All,اختيار الكل
[deleted],[محذوف]
We couldn't find any records.,لم يتم العثور على أي سجلات.
Add New,إضافة جديد
Invalid export type supplied for grid export block,Invalid export type supplied for grid export block
Export,استخراج
Please correct the column format and try again.,الرجاء تصحيح تنسيق العمود وحاول مرة أخرى.
Please select items.,يرجى تحديد الأصناف.
Submit,إرسال
Unknown block type,نوع block غير معروف
Please correct the tab configuration and try again. Tab Id should be not empty,الرجاء تصحيح اعدادات التبويب ثم حاول مرة أخرى. يجب أن يكون معرف علامة التبويب غير فارغ
Please correct the tab configuration and try again.,الرجاء تصحيح ضبط التبويب ثم حاول مرة أخرى.
You have logged out.,لقد سجلت خروجك.
Specified cache type(s) don't exist: %1,نوع ذاكرة التخزين المحددة غير موجودة: %1
The image cache was cleaned.,تم مسح ذاكرة تخزين الصور.
An error occurred while clearing the image cache.,حدث خطأ أثناء مسح ذاكرة تخزين الصور.
The JavaScript/CSS cache has been cleaned.,تم تنظيف ذاكرة تخزين JavaScript/CSS
An error occurred while clearing the JavaScript/CSS cache.,حدث خطأ أثناء مسح ذاكرة التخزين الخاصة ب JavaScript/CSS
The static files cache has been cleaned.,وقد تم تنظيف ذاكرة التخزين الخاصة بالملفات الثابتة.
You flushed the cache storage.,لقد تم مسح محتويات ذاكرة التخزين المؤقت.
The Magento cache storage has been flushed.,تم مسح محتويات ذاكرة التخزين المؤقت الخاصة بماجنتو.
Cache Management,إدارة ذاكرة التخزين المؤقت
You can't change status of cache type(s) in production mode,لا يمكنك تغيير حالة نوع (أنواع) ذاكرة التخزين المؤقت في وضع الإنتاج
%1 cache type(s) disabled.,%1 نوع ذاكرة التخزين المؤقت معطل.
An error occurred while disabling cache.,حدث خطأ أثناء تفعيل ذاكرة التخزين المؤقت.
%1 cache type(s) enabled.,%1 من انواع ذاكرة التخزين المؤقتة مفعلة
An error occurred while enabling cache.,حدث خطأ أثناء تفعيل ذاكرة التخزين المؤقت.
%1 cache type(s) refreshed.,لقد نم تفعيل انواع ذاكرة التخزين المؤقت %1
An error occurred while refreshing cache.,حدث خطأ أثناء تحديث ذاكرة التخزين المؤقت.
Dashboard,لوحة التحكم
We updated lifetime statistic.,قمنا بتحديث احصائيات مدى الحياة.
We can't refresh lifetime statistics.,ونحن لا يمكن تحديث احصاءات مدى الحياة.
invalid request,طلب غير صالح
see error log for details,راجع سجل الأخطاء للحصول على التفاصيل
Service unavailable: %1,الخدمة غير متاحة: %1
Error,خطأ
Access Denied.,دخول مرفوض.
You need more permissions to do this.,تحتاج لصلاحية اكبر للقيام بذلك
No search modules were registered,لم يتم تسجيل أية وحدات بحث
Please make sure that all global admin search modules are installed and activated.,يرجى التأكد من ان جميع وحدات البحث العالمية الادارة مثبته ومفعله.
You saved the account.,قمت بحفظ الحساب.
An error occurred while saving account.,حدث خطأ أثناء حفظ حساب.
You deleted the design change.,قمت بحذف تغيير التصميم.
You can't delete the design change.,لا يمكنك حذف تغيير التصميم.
Store Design,تصميم المتجر
Edit Store Design Change,تعديل تغيير تصميم المتجر
You saved the design change.,قمت بحفظ تغيير التصميم.
System,النظام
Manage Stores,إدارة المتاجر
The database was backed up.,تم اعداد نسخ احتياطي لقاعدة البيانات.
We can't create a backup right now. Please try again later.,لم نتمكن من انشاء نسخة احتياطية. حاول مرة اخرى.
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",حذف %1 لن يحذف المعلوات المرتبطة بـ %1 (مثل التصنيف، المنتجات، الخ)، لكن لن يمكن استعادة %1. يقترح إنشاء نسخة إحتياطية من قواعد البيانات قبل حذف %1.
Something went wrong. Please try again.,حدث خطأ ما. الرجاء المحاولة مرة أخرى.
This store cannot be deleted.,لا يمكن حذف هذا المتجر.
You deleted the store.,لقد حذفت المتجر.
Unable to delete the store. Please try again later.,غير قادر على حذف المتجر. من فضلك، حاول مرة أخرى لاحقاً.
This store view cannot be deleted.,لا يمكن حذف عرض المتجر هذا.
Store View,عرض المتجر
You deleted the store view.,تم حذف واجهة المتجر.
Unable to delete the store view. Please try again later.,غير قادر على حذف واجهة المتجر. من فضلك، حاول مرة أخرى لاحقاً.
This website cannot be deleted.,لا يمكن حذف هذا الموقع.
You deleted the website.,لقد حذفت الموقع.
Unable to delete the website. Please try again later.,غير قادر على حذف الموقع. من فضلك، حاول مرة أخرى لاحقاً.
The website does not exist.,الموقع غير موجود.
Before modifying the website code please make sure it is not used in index.php.,قبل تعديل رمز الموقع يرجى التأكد من أنها لا تستخدم في index.php.
The store does not exist,المتجر غير موجود
Store view doesn't exist,عرض المتجر غير موجود
Before modifying the store view code please make sure it is not used in index.php.,قبل تعديل رمز عرض المتجر يرجى التأكد من أنها لا تستخدم في index.php.
New,جديد
All Stores,جميع المتاجر
You saved the website.,قمت بحفظ موقع شبكة الإنترنت.
The default store cannot be disabled,لا يمكن تعطيل المتجر الافتراضي
You saved the store view.,لقد حفظت واجهة المتجر.
An inactive store view cannot be saved as default store view,لا يمكن حفظ واجهة متجر غير نشط كواجهة افتراضية
You saved the store.,قمت بحفظ المتجر.
Something went wrong while saving. Please review the error log.,حدث خطأ أثناء الحفظ. الرجاء مراجعة سجل الأخطاء.
Last 24 Hours,ال 24 ساعة الماضية
Last 7 Days,آخر 7 أيام
Current Month,الشهر الحالي
YTD,منذ سنة
2YTD,منذ سنتين
Authentication storage is incorrect.,مصادقة التخزين غير صحيحة.
You did not sign in correctly or your account is temporarily disabled.,لم تقم بتسجيل الدخول بشكل صحيح أو أن حسابك معطل مؤقتاً.
Authentication error occurred.,حدث خطأ مصادقة.
Admin session lifetime must be less than or equal to 31536000 seconds (one year),جلسة المدير يجب أن تكون أقل من أو يساوي إلى 31536000 ثانية (سنة واحدة)
Admin session lifetime must be greater than or equal to 60 seconds,جلسة المدير يجب أن تكون أكبر من أو تساوي 60 ثانية
Order,طلب
Order #%1,رقم الطلب #%1
You need more permissions to access this.,تحتاج لمزيد من الصلاحيات للوصول إلى هذا.
"Sorry, you need permissions to view this content.",عذرا، أنت بحاجة إلى أذونات لعرض هذا المحتوى.
Next steps,الخطوات التالية
"If you think this is an error, try signing out and signing in again.",إذا كنت تعتقد أن هذا خطأ، فجرب الخروج وتسجيل الدخول مرة أخرى.
Contact a system administrator or store owner to gain permissions.,اتصل بمسؤول النظام أو صاحب المتجر للحصول على الأذونات.
Return to,Return to
previous page,الصفحة السابقة
"Welcome, please sign in",مرحبا، الرجاء تسجيل الدخول
Username,اسم المستخدم
user name,اسم المستخدم
Password,كلمة المرور
password,كلمة المرور
Sign in,دخول
Select Range:,حدد نطاق:
No Data Found,لم يتم العثور على بيانات
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","تم تعطيل المخطط. لتمكين المخطط، انقر <a href=""%1""> هنا</a>."
Last Orders,آخر الطلبات
Last Search Terms,كلمات البحث الأخيرة
Top Search Terms,أعلى كلمات البحث
1 days ago,1 يوم
2 days ago,2 يوم
3 days ago,3 يوم
4 days ago,4 يوم
5 days ago,5 يوم
6 days ago,6 يوم
7 days ago,7 يوم
8 days ago,8 يوم
9 days ago,9 يوم
10 days ago,10 يوم
11 days ago,11 يوم
12 days ago,12 يوم
13 days ago,13 يوم
14 days ago,14 يوم
15 days ago,15 يوم
16 days ago,16 يوم
17 days ago,17 يوم
18 days ago,18 يوم
19 days ago,19 يوم
Select Make,اختر النوع
Select Model,اختر الموديل
Select Year,اختر السنة
Make,النوع
Model,الموديل
Year,السنة
Ford,فورد
CHEVY,شيفروليه
Chevy,شيفرولية‎‎ه
GMC,جي ام سي
Jeep,جيب
Silverado 1500,سيلفرادو 1500
Wrangler JK 2-Door,رانجلر بابين
Wrangler Unlimited JK 4-Door,رانجلر أربع أبواب
SVT Raptor,رابتر
Sierra 1500,سييرا 1500
Products for,المنتجات لل
Select Vehicles,المركبات السابقة
Clear selected vehicle,الغاء السيارة المختارة
or previously selected vehicles,مركبات تم اختيارها سابقاً
Toyota,تويوتا
FJ Cruiser,اف جي كروزر
Send password,إرسال كلمة المرور
Return to login,العودة إلى تسجيل الدخول
E-mail,البريد الإلكتروني
Please enter a username and password.,يرجى إدخال اسم المستخدم و كلمة المرور
Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.,قدم استفسارك و سوف يتم الرد ل في أقرب وقت ممكن . أشكركم على الاتصال بنا
in your cart.,في عربة التسوق
Added to your cart,اضيف الى عربة التسوق
items,سلع
item,سلعة
"Sorry, no products match your search query.",آسف ، لا توجد منتجات تطابق بحثك
Filter By,تصفية حسب
Tracking Orders,تتبع الطلبيات
Special Offers!,عروض خاصة
My Account,حسابي
Brands,العلامات التجارية
Search Store,ابحث هنا‎‎
Subtotal,االمجموع الفرعي
Your email address,عنوان بريدك الإلكتروني
(Signout),تسجيل خروج‎
Sign Out,تسجيل خروج‎
Signout,تسجيل خروج
"For customers located out of delivery service areas, please call or choose 'Warehouse Pick-up' as your shipping option (Located in Dubai Industrial City)","لسكان المناطق الموجودة خارج نطاق خدمة شركة التوصيل، يرجى الاتصال بنا أو اختيار خدمة استلام الطلب من المستودع"" بمدينة دبي الصناعية"""
Your order has been received.,تم استلام طلبك
Your order # is:,رقم طلبك هو
You are now logged out,لقد قمت بتسجيل خروج
You have logged out and will be redirected to our homepage in 5 seconds.,سيتم توجيهك الآن إلى الصفحة الرئيسية
Your order has been received.,لقد تم استلام طلبك.
You will receive an order confirmation email with the details of your order and a link to track its progress.,سوف تتلقى رسالة بالبريد الإلكتروني تتضمن تفاصيل طلبك.
a copy of your order confirmation,نسخة من تأكيد طلبك
here to print,هنا للطباعة
Notify me by email,اخطارك بالبريد الالكتروني
Click,انقر
a copy of your order confirmation,نسخة من تأكيد طلبك
Please wait while your payment is being processed...,يرجى الانتظار بينما يتم معالجة الدفع الخاص بك ...
Maximum 'Cash On Delivery' amount is AED2500 per shipment.,الحد الأقصي للدفع عند التوصيل هو ٢٥٠٠درهم لكل شحنه.
2014 تشيفي سيلفرادو 1500,2014 شيفرولية سيلفرادو 1500‎
Chevy Silverado,سيلفرادو شيفرولية
Customers also bought,زبائننا اشتروا أيضا
Related Products,منتجات ذات صلة
Q,السؤال
Ok,حسناً
OK,حسناً
Wrong captcha code!,كود الكابتشا غير صحيح!
Your question has been added,تمت إضافة سؤالك
Your question has been sent for moderation,تم إرسال سؤالك إلى الاعتدال
Wrong captcha code!,عذرا، لم تقم بإدخال كود الحماية المبين في الصورة بشكل صحيح، يرجى إعادة المحاولة
A,الجواب
Name,اسمك
Sign Up for Newsletter,الاشتراك في النشرة البريدية
"Please, enter the text shown in the image into the field below",ادخل من فضلك النص المبين أدناه في حقل كود الحماية
Add Question,ارسل السؤال
"Please, enter email...",يرجى ادخال بريدك الإلكتروني
Check if you want to subscribe to our newsletter,يرجى الاختيار في حال رغبتك بالاشتراك في خدمتنا البريدية
SKU,رقم المنتج
New Bedrug Products,منتجات بيد راق الجديدة
Items Ordered,المنتجات التي تم طلبها
Ordered:,العدد
SRC Tubular Doors,أبواب سميتي بيلت الرياضية
New - VisionX Vortex,جديد - فيجين اكس
Trail Doors,أبواب رياضية
Apply Coupon,استخدم الكوبون
Coupon Testing,اختبار القسيمة
Coupon code was applied,‫تم استخدام كود الكوبون‬‎
Coupon code was canceled,‫تم الغاء كود الكوبون‬‎
"Coupon code %s"" is not valid""","كوبون الخصم الذي ادخلته غي ر صحيح %s"""""
Special Offer,عرض خاص
"Coupon code ""%s"" was applied.","تم تفعيل ""%s"" كوبون الخصم"
Coupon code was canceled.,تم إلغاء كوبون الخصم
50 inch Light Bar Mount,قاعدة كشاف 50 انش
TUNDRA,تندرا
RAM,رام
FJ,‫اف جيه‬
Tundra,تندرا
Ram,رام
Dodge Ram,دوج رام
Ram 1500,رام 1500‬‎
PRE ORDER,الحجز المسبق
Nissan,نيسان‬
Patrol 400HP,باترول 400 حصان
METHOD WHEELS,عجلات ميثود
Now Available (Exclusive),متوفر الآن - حصرياً
Supercharger,‫سوبرجارج‬
Patrol,باترول
Nissan Air Intake,فلتر رياضي للنيسان‎
Exhaust System,العادم الخلفي
Sprint Booster,سبرينت بوستر
LIFT KIT,نظام رفع المركبة
J.W. Speaker,جيه دبليو سبيكر
PREDATOR WHEELS,عجلات بريداتور
Now Available,متوفر الآن
Ramadan Offers,عروض رمضان
Eid Mubarak,عيد مبارك
Exclusive,حصرياً
LAND CRUISER,لاند كروزر
Land Cruiser,لاند كروزر
Available,متوفر
Sale,تنزيلات‎‎
RAMADAN OFFER,عرض رمضان
SELECT YOUR VEHICLE,اختر سيارتك
Recent Vehicle,سيارة حديثة
SPECIAL OFFERS!,عروض خاصة
FREE SHIPPING,شحن مجاني
Minimum purchase 200 AED for free shipping,الحد الأدنى للشراء 200 درهم للشحن المجاني
WE STOCK LOCALLY,نخزن محليا
"All products available in our warehouse, no back orders",كل السلع المعروضة في الموقع موجودة في مستودعاتنا
SECURE PAYMENTS,دفع آمن
The highest standards in online payment security,أعلى المعايير في أمن الدفع عبر الإنترنت
GIFT COUPON,قسيمة هدية
These are few features why our portal is the best,هذه بعض الميزات التي تجعل موقعنا الأفضل
POPULAR BRANDS,أشهر الماركات/ العلامات التجارية
View All,عرض الكل
MODELS,الموديل
SHOP BY CATEGORY,تسوق حسب الاقسام
NEW,جديد
DEAL,صفقة
GREAT DEALS,صفقات كبيرة
SPECIAL OFFERS,عروض خاصة
view all offers,عرض جميع العروض
NEW ARRIVALS,وصل حديثا
OUR BEST SELLERS,الاكثر مبيعا
Shop popular stuff for all,اشترالسلع الاكتر تداولا
shop now,اشتر الآن
OUR COMBO PRODUCTS,أطقم
View our products,عرض منتجاتنا
view products,عرض المنتجات
SIGN UP FOR OUR NEWSLETTER:,سجل للحصول على آخر العروض
We will sent you only important updates upon products you may like,سوف نرسل لك فقط التحديثات الهامة على المنتجات التي قد ترغب بها
SUBSCRIBE,الاشتراك
CATEGORIES,الاقسام
CopyrightÂ© 2018. argoob.com. All Rights Reserved.,جميع الحقوق محفوظة
MY ACCOUNT,حسابي
Cart,عربة التسوق
Checkout,إنهاء عملية الشّراء
My Profile,ملفي
My History,السجل
Payments,الدفعات
ARGOOB,عرقوب
About Us,من نحن
Contact Us,اتصل بنا
FAQ,منتدى الاسئلة و الاجوبة
Affiliate,انضم
Terms & Condition,الشروط والأحكام
Return Policy,سياسة الاسترجاع
CATEGORIES,الاقسام
Performance Parts,قطع رفع الاداء
Suspension Parts,نظام التعليق
Exterior Accessories,الاكسسوارات الخارجية
Interior Accessories,الاضافات الداخلية
Lighting & Mounts,الكشافات و مستلزماتها
SUPPORT,الدعم
Need Help?,تحتاج مساعدة؟
Our representatve will answer you 24x7,سوف يجيبك مندوبنا على مدار 24 ساعة طوال أيام الأسبوع
Other Contacts,اتصالات أخرى
ABOUT ARGOOB,عن عرقوب
"Argoob.com is a member of the Europetro group of companies focused in E- marketing of specialized accessories for off road vehicles. We carry the best Brands that the international market has to offer at the most reasonable prices & prompt deliveries to our valued customers. We buy in bulk & take care of the shipping,,customs & storage. In short the best is available to you just a click away. We strive to cater to most of your requirements. If you find us as per your expectations or beyond it please do tell your friends & relatives & if you donâ€™t please tell us. We would really appreciate your constructive feedback. In fact as you are an integral part of our business family we will give away a small reward to anybody whose suggestion is meaningful to improve our services to you. Lastly Argoob is a term coined by the Bedouinâ€™s who still traverse the vast expanse of our sands with the original 4 wheel drive â€“ the mighty & resourceful camel. Argoob literally means really high sand dunes.",متجر عرقوب للتسوق الإلكتروني موقع متخصص للبيع بالتجزئة على الإنترنت، وهو فرع من مجموعة شركات يوروبترو و نسعى لأن نكون المتجر الرائد في مجال بيع كماليات سيارات الدفع الرباعي بالتجزئة من خلال الإنترنت على المستوي الإقليمي ، وهدفنا أن نقدم لعملائنا أفضل المنتجات مع أفضل الخدمات بأفضل الأسعار، و توفير مستوى عالٍ من خدمة العملاء التي تستحقها، مقر المتجر هو إمارة دبي بدولة الإمارات العربية المتحدة ، جميع المنتجات المعروضة على المتجر متوفرة في مخزن المتجر بإمارة دبي مما يوفّر عليك الوقت في الحصول على المنتج بسرعة ويوفّر عليك تكاليف الشحن الدولية و بعض المشاكل الجمركية، وما يميز المتجر أنه مبني على أساس خاص بالتسوق الإلكتروني العالمي عن طريق الإنترنت فلن تجد أي صعوبة في استخدامه حتى أنك تستطيع الشراء دون الحاجة للتسجيل وبسرعة قصوى،أنت في المتجر تتعامل مع وجهة واحدة متكاملة، ونسعى لتوفير منتجات جديدة بصفة مستمرة ، إذا كنت تبحث عن منتج معين لم تجده هنا يرجى التواصل معنا و سوف نسعي لتوفيره لك أو حتى إضافته إلى متجرنا بشكل دائم، نأمل أن تكون زيارتك لنا تجربة ممتعة وسوف نكون سعداء لتلقي تعليقاتك و مقترحاتك االتي نحفها بالترحيب و نوليها كل إهتمام ، إذا وجدت الفائدة من متجرنا فلا تنسى أن تخبر أقربائك وأصدقائك عنا، ولا تنسى إضافتنا إلى قائمة المفضلة لديك.
Be the first to review this product,كن أول من يراجع هذا المنتج
SKU,رقم السلعة
In Stock,متوفر بالمخزون
VEHICLE FITMENT,متوافق مع المركبات
Select A Compatible Vehicle,اختر السيارة المناسبة
ADD TO CART,اضافة الى السلة
Home,الصفحة الرئيسية
Shopping Cart,عربة التسوق
ITEM,المنتج
PRICE,السعر
Excl .Tax,غير شامل الضريبة
QTY,الكمّية
SUB TOTAL,المجموع الأصلي
CONTINUE SHOPPING,مواصلة التسوق
CLEAR SHOPPING CART,الغاء السلّة
UPDATE SHOPPING CART,تحديث عربة التسوق
PROCEED TO CHECKOUT,المواصلة لإنهاء الشراء
Spend AED 200 or more and get free shipping,"اشتري بقيمة 200 درهم, و احصل على شحن مجاني"
Summary,ملخّص
Credit Memo #%s created,مذكرة الائتمانية  #%s انشاءة
Credit Memo History,تاريخ المذكرة الائتمانية
Credit Card Number,رقم كارت الائتماني
Can't delete design change,لا يمكن حذف تغيرات التصميم
Credit Memo #%s comment added,مذكرة ائتمانية  #%s اضافة تعليق
The customer doesn't exist in the system anymore,المستخدم لا يدخل الى النظام بعد الان
Credit Card Number: xxxx-%s,رقم كارت الائتماني: xxxx-%s
Please select a category,رجاء اختار الفئة
Added to your shopping cart,يضاف إلى عربة التسوق الخاصة بك
Payment canceled by customer,دفع ألغى من قبل العميل
AED ,درهم‏
items ,درهم
You have no items in your shopping cart.,لا يوجد لديك أي سلع في عربة التسوق.
Click here to continue shopping.,انقر هنا لمتابعة التسوق.
Forgot Your Password,هل نسيت كلمة المرور
Please enter your email address below to receive a password reset link.,يرجى إدخال عنوان بريدك الإلكتروني أدناه لتلقي رابط إعادة تعيين كلمة المرور.
Please type the letters and numbers below,يرجى كتابة الحروف والأرقام أدناه
Reset My Password,إعادة تعيين كلمة المرور الخاصة بي
Go back,عد
Customer Login,تسجيل دخول العميل
Registered Customers,عملاء مسجلون
If you have an account, sign in with your email address.,إذا كنت تمتلك حسابا معنا، من فضلك قم بتسجيل الدخول.
* Required Fields,الحقول المطلوبة
Creating an account has many benefits: check out faster, keep more than one address, track orders and more.,عن طريق انشاء حساب مع شركائنا في المتجر ، سوف تكون قادرة على التحرك من خلال عملية الخروج بشكل اسرع ، وتخزين متعددة تتناول النقل البحري ، وبالنظر الى المسار الاوامر الخاصة بك في حسابك وأكثر.
Create an Account,إنشاء حساب
Sign In,تسجيل الدخول
Create New Customer Account,إنشاء حساب
Personal Information,بيانات شخصية
Sign-in Information,بيانات تسجيل الدخول
Back In Stock,مرة أخرى في الأوراق المالية
items,سلعة
POPULAR,جمع
  